,year,age,relig,partyid,income,region,race,hapmar,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,childs
8494,1977,33.0,1.0,0.0,10.0,3,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0
4803,1975,49.0,1.0,1.0,12.0,5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,7.0
9600,1978,59.0,1.0,1.0,12.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0
21135,1987,45.0,1.0,5.0,12.0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
32052,1994,42.0,1.0,5.0,12.0,6,1.0,1.0,,,,,,,,2.0
71389,2022,27.0,4.0,1.0,12.0,6,1.0,,,,,,,,,
52031,2008,48.0,1.0,5.0,12.0,3,1.0,2.0,,,,,,,,2.0
40194,2000,67.0,1.0,6.0,9.0,5,1.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
2461,1973,59.0,1.0,1.0,9.0,7,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,3.0
11095,1980,32.0,5.0,2.0,8.0,9,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0
65714,2021,29.0,2.0,1.0,,2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48775,2006,34.0,4.0,0.0,12.0,4,1.0,,,,,,,,,2.0
68554,2021,,,,12.0,5,3.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
12967,1982,27.0,1.0,3.0,,2,2.0,,,1.0,1.0,1.0,1.0,1.0,,0.0
16471,1984,48.0,1.0,1.0,11.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
41364,2002,31.0,4.0,0.0,12.0,2,1.0,1.0,,,,,,,,0.0
68353,2021,61.0,1.0,2.0,,5,1.0,,,,,,,,,0.0
70411,2022,32.0,4.0,1.0,12.0,5,1.0,1.0,,,,,,,,0.0
66584,2021,33.0,1.0,1.0,12.0,3,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1146,1972,35.0,1.0,1.0,,9,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,,3.0
63294,2018,56.0,2.0,4.0,12.0,4,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
60501,2016,23.0,2.0,3.0,12.0,9,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
12224,1982,61.0,1.0,5.0,9.0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
64268,2018,66.0,1.0,4.0,12.0,4,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0
67445,2021,,4.0,3.0,,4,,1.0,,,,,,,,1.0
55987,2012,41.0,1.0,5.0,12.0,3,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
26946,1991,69.0,2.0,6.0,,5,1.0,1.0,,,,,,,,2.0
1261,1972,37.0,1.0,1.0,,9,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,,6.0
25941,1990,62.0,1.0,6.0,12.0,3,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0
45373,2004,49.0,1.0,6.0,12.0,6,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
4660,1975,24.0,1.0,0.0,11.0,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
47905,2006,19.0,2.0,3.0,12.0,4,3.0,,,,,,,,,0.0
18989,1986,42.0,4.0,2.0,12.0,2,1.0,,,,,,,,,2.0
3097,1973,43.0,5.0,2.0,12.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0
68965,2022,20.0,11.0,1.0,12.0,2,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
38614,2000,28.0,9.0,3.0,,2,2.0,1.0,,,,,,,,0.0
66621,2021,25.0,4.0,0.0,11.0,3,1.0,,,,,,,,,0.0
29967,1994,57.0,2.0,2.0,12.0,3,1.0,1.0,,,,,,,,3.0
39572,2000,37.0,1.0,0.0,12.0,2,1.0,,,,,,,,,0.0
42953,2002,77.0,2.0,5.0,12.0,5,1.0,2.0,,,,,,,,2.0
917,1972,26.0,3.0,0.0,,2,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,2.0
33983,1996,42.0,1.0,4.0,12.0,5,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
39241,2000,81.0,2.0,1.0,10.0,2,1.0,,1.0,,1.0,,1.0,,2.0,2.0
28581,1993,36.0,1.0,0.0,12.0,8,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
21933,1988,41.0,4.0,3.0,12.0,9,1.0,,,,,,,,,0.0
17248,1985,38.0,2.0,1.0,12.0,9,1.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
7209,1976,28.0,2.0,4.0,9.0,3,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0
14543,1983,44.0,2.0,5.0,12.0,2,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
59863,2016,26.0,1.0,5.0,11.0,9,3.0,,,,,,,,,1.0
12845,1982,21.0,1.0,3.0,9.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
64922,2021,64.0,1.0,0.0,12.0,5,2.0,,,,,,,,,1.0
52988,2008,42.0,1.0,,12.0,2,3.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,3.0
61275,2016,30.0,4.0,3.0,12.0,5,1.0,,,,,,,,,1.0
8696,1977,26.0,4.0,1.0,6.0,7,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
50104,2006,41.0,4.0,2.0,12.0,3,1.0,,,,,,,,,0.0
3427,1974,29.0,1.0,4.0,9.0,5,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0
59095,2014,77.0,2.0,5.0,,7,1.0,,,,,,,,,2.0
839,1972,74.0,1.0,1.0,,3,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,,6.0
51402,2008,37.0,9.0,2.0,,3,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
7616,1977,25.0,5.0,2.0,9.0,1,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
61039,2016,72.0,2.0,0.0,12.0,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
22087,1988,31.0,2.0,2.0,12.0,5,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
64145,2018,34.0,2.0,3.0,12.0,2,1.0,2.0,,,,,,,,2.0
27593,1991,28.0,1.0,1.0,10.0,7,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0
21176,1987,61.0,2.0,1.0,9.0,3,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
63248,2018,82.0,1.0,5.0,12.0,8,1.0,,1.0,2.0,1.0,,1.0,1.0,2.0,3.0
3905,1974,33.0,1.0,7.0,,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
32359,1994,24.0,1.0,2.0,12.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30957,1994,64.0,1.0,4.0,3.0,5,1.0,,1.0,2.0,,,,2.0,2.0,0.0
51356,2008,56.0,2.0,3.0,12.0,5,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0
39399,2000,26.0,2.0,2.0,12.0,1,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
60997,2016,42.0,2.0,3.0,1.0,8,1.0,,,,,,,,,2.0
11863,1980,32.0,5.0,4.0,3.0,9,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16292,1984,65.0,1.0,1.0,9.0,5,2.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
23667,1989,43.0,2.0,4.0,12.0,5,1.0,1.0,,,,,,,,3.0
4585,1974,26.0,1.0,5.0,9.0,3,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,,0.0
12768,1982,31.0,1.0,4.0,10.0,3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0
50599,2006,52.0,4.0,5.0,10.0,7,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
14217,1983,60.0,1.0,6.0,12.0,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
53913,2010,71.0,1.0,3.0,8.0,2,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
29207,1993,74.0,1.0,5.0,5.0,2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
44094,2004,62.0,1.0,6.0,12.0,9,1.0,,,,,,,,,2.0
49278,2006,28.0,1.0,5.0,12.0,5,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
4093,1974,22.0,1.0,1.0,,3,1.0,,1.0,2.0,1.0,1.0,1.0,,,0.0
16800,1984,40.0,1.0,5.0,11.0,4,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
9497,1978,39.0,1.0,1.0,9.0,7,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
46201,2004,43.0,2.0,3.0,9.0,7,1.0,,,,,,,,,2.0
27296,1991,21.0,1.0,6.0,8.0,9,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
67154,2021,34.0,9.0,0.0,11.0,9,1.0,,,,,,,,,2.0
58176,2014,32.0,4.0,6.0,12.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60107,2016,55.0,2.0,4.0,12.0,1,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
13279,1982,67.0,1.0,1.0,8.0,9,1.0,,1.0,,1.0,2.0,1.0,,,2.0
10133,1978,56.0,4.0,1.0,9.0,5,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
61383,2016,82.0,10.0,3.0,9.0,5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0
54259,2010,48.0,2.0,1.0,12.0,7,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
45601,2004,26.0,1.0,4.0,12.0,8,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
11747,1980,57.0,1.0,4.0,12.0,6,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
15704,1984,64.0,1.0,0.0,11.0,3,2.0,,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0
68084,2021,63.0,2.0,1.0,12.0,2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
32017,1994,36.0,1.0,1.0,10.0,6,1.0,2.0,,,,,,,,2.0
70852,2022,52.0,2.0,0.0,12.0,2,1.0,,,,,,,,,0.0
12617,1982,64.0,5.0,0.0,9.0,2,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
39504,2000,25.0,1.0,3.0,10.0,6,2.0,,,,,,,,,0.0
53822,2010,73.0,1.0,6.0,12.0,3,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
7841,1977,56.0,1.0,1.0,11.0,4,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
71802,2022,52.0,1.0,2.0,12.0,8,1.0,,,,,,,,,
22049,1988,52.0,2.0,3.0,12.0,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0
44696,2004,19.0,1.0,3.0,1.0,3,2.0,,,,,,,,,0.0
27373,1991,51.0,2.0,1.0,12.0,2,1.0,,2.0,2.0,1.0,2.0,,2.0,2.0,1.0
17728,1985,66.0,1.0,6.0,6.0,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
61041,2016,30.0,2.0,4.0,12.0,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4536,1974,27.0,2.0,0.0,11.0,3,1.0,,2.0,2.0,1.0,2.0,2.0,2.0,,0.0
33120,1996,65.0,1.0,4.0,12.0,5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
1919,1973,53.0,1.0,3.0,8.0,2,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0
364,1972,70.0,1.0,5.0,,4,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,,1.0
5617,1975,49.0,1.0,2.0,12.0,3,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0
1478,1972,37.0,3.0,1.0,,2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
71951,2022,70.0,4.0,3.0,12.0,9,1.0,2.0,,,,,,,,
5930,1975,66.0,1.0,6.0,11.0,9,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0
34119,1996,40.0,2.0,1.0,12.0,6,3.0,,,,,,,,,0.0
44404,2004,49.0,9.0,0.0,12.0,5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
26640,1991,29.0,2.0,2.0,12.0,2,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
41500,2002,50.0,2.0,3.0,1.0,2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9208,1978,82.0,2.0,1.0,6.0,2,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
71610,2022,83.0,2.0,6.0,12.0,4,1.0,2.0,,,,,,,,
19809,1986,43.0,2.0,3.0,12.0,3,1.0,2.0,,,,,,,,2.0
36038,1998,25.0,1.0,4.0,5.0,9,1.0,,,,,,,,,0.0
52312,2008,47.0,4.0,4.0,9.0,8,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
7978,1977,54.0,1.0,1.0,11.0,7,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0
13451,1982,24.0,1.0,2.0,7.0,5,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
21058,1987,48.0,1.0,5.0,12.0,9,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
10564,1978,33.0,1.0,5.0,12.0,9,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
46419,2004,55.0,2.0,1.0,12.0,3,1.0,,,,,,,,,2.0
53234,2010,28.0,4.0,3.0,8.0,9,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15673,1984,27.0,1.0,4.0,12.0,9,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29612,1994,53.0,1.0,3.0,12.0,9,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,2.0
28949,1993,67.0,1.0,6.0,12.0,3,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0
19358,1986,62.0,4.0,0.0,12.0,5,1.0,1.0,,,,,,,,2.0
19686,1986,51.0,1.0,1.0,4.0,2,1.0,,,,,,,,,1.0
48466,2006,22.0,1.0,6.0,12.0,3,1.0,,,,,,,,,0.0
9573,1978,31.0,4.0,0.0,12.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41533,2002,59.0,1.0,5.0,,7,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
59338,2014,60.0,1.0,4.0,12.0,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
67314,2021,67.0,4.0,0.0,12.0,3,1.0,2.0,,,,,,,,2.0
46797,2006,41.0,2.0,2.0,12.0,9,3.0,2.0,,,,,,,,2.0
65919,2021,54.0,1.0,1.0,12.0,5,2.0,,,,,,,,,4.0
59767,2016,50.0,1.0,0.0,12.0,9,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29251,1993,19.0,1.0,3.0,12.0,4,1.0,,1.0,,1.0,2.0,1.0,,,0.0
818,1972,52.0,2.0,0.0,,9,1.0,,1.0,2.0,1.0,2.0,,2.0,,4.0
66736,2021,55.0,1.0,6.0,12.0,7,1.0,1.0,,,,,,,,1.0
17693,1985,46.0,4.0,1.0,9.0,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
48558,2006,89.0,1.0,5.0,10.0,3,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0
61349,2016,69.0,1.0,4.0,12.0,5,1.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0
45081,2004,21.0,2.0,3.0,,4,3.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0
12459,1982,25.0,4.0,4.0,9.0,5,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
19617,1986,27.0,1.0,5.0,12.0,9,1.0,1.0,,,,,,,,1.0
57824,2014,75.0,2.0,3.0,8.0,5,3.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
10631,1978,35.0,1.0,6.0,7.0,5,1.0,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0
57608,2014,70.0,4.0,1.0,12.0,9,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
5449,1975,53.0,2.0,3.0,12.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0
48133,2006,57.0,2.0,1.0,12.0,2,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
16639,1984,22.0,1.0,5.0,9.0,8,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
39627,2000,44.0,1.0,1.0,,7,2.0,,,,1.0,,,,,3.0
46522,2006,26.0,6.0,6.0,8.0,2,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
62746,2018,52.0,1.0,5.0,12.0,3,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
64051,2018,36.0,11.0,3.0,10.0,6,1.0,2.0,,,,,,,,1.0
72104,2022,38.0,2.0,4.0,8.0,7,1.0,,,,,,,,,3.0
31782,1994,49.0,1.0,1.0,10.0,3,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
37711,1998,75.0,,0.0,12.0,6,1.0,1.0,,,,,,,,4.0
2235,1973,22.0,1.0,1.0,8.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
67033,2021,28.0,4.0,2.0,12.0,9,1.0,1.0,,,,,,,,0.0
25535,1990,34.0,4.0,3.0,11.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
30019,1994,40.0,1.0,1.0,4.0,7,1.0,,,,,,,,,4.0
2430,1973,26.0,1.0,3.0,6.0,6,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,,4.0
38285,2000,36.0,2.0,1.0,,2,1.0,1.0,,,,,,,,1.0
11067,1980,49.0,1.0,1.0,10.0,8,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
44702,2004,56.0,2.0,0.0,12.0,1,2.0,,,,,,,,,2.0
31978,1994,35.0,1.0,3.0,9.0,5,1.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0
23087,1988,89.0,1.0,5.0,11.0,4,1.0,1.0,,,,,,,,0.0
25143,1990,74.0,2.0,0.0,12.0,1,1.0,,,,,,,,,3.0
2108,1973,21.0,1.0,7.0,1.0,7,1.0,3.0,2.0,2.0,,2.0,,,,0.0
61076,2016,34.0,4.0,3.0,12.0,6,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0
23551,1989,49.0,4.0,7.0,10.0,9,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
38294,2000,31.0,2.0,6.0,,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30921,1994,74.0,1.0,0.0,12.0,4,1.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,3.0
21356,1987,44.0,2.0,1.0,9.0,7,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
23098,1988,62.0,2.0,5.0,9.0,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
38775,2000,51.0,5.0,1.0,10.0,2,1.0,,,,,,,,,0.0
65769,2021,52.0,4.0,0.0,12.0,2,1.0,1.0,,,,,,,,3.0
67957,2021,19.0,2.0,3.0,,2,1.0,,,,,,,,,0.0
32441,1996,29.0,2.0,1.0,9.0,2,3.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
9269,1978,38.0,2.0,2.0,12.0,2,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
17805,1985,50.0,1.0,5.0,12.0,5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
67777,2021,32.0,9.0,3.0,11.0,9,3.0,1.0,,,,,,,,1.0
47524,2006,49.0,1.0,3.0,12.0,7,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0
2335,1973,73.0,1.0,4.0,3.0,5,1.0,,1.0,,1.0,,1.0,2.0,,0.0
22644,1988,87.0,1.0,6.0,9.0,5,1.0,,,2.0,1.0,2.0,,2.0,2.0,2.0
2539,1973,38.0,1.0,5.0,10.0,6,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,2.0
14085,1983,34.0,2.0,6.0,9.0,2,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
70726,2022,74.0,2.0,6.0,12.0,3,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,
58099,2014,58.0,11.0,7.0,12.0,4,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
43240,2002,32.0,1.0,4.0,12.0,4,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,0.0
61994,2016,39.0,4.0,1.0,9.0,9,1.0,,,,,,,,,0.0
33680,1996,58.0,1.0,5.0,,3,1.0,1.0,,,1.0,,1.0,,,2.0
17445,1985,27.0,1.0,1.0,10.0,2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42185,2002,26.0,1.0,5.0,12.0,5,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0
36907,1998,28.0,1.0,0.0,,7,2.0,,,,,,,,,1.0
39153,2000,39.0,4.0,1.0,12.0,9,1.0,,,,,,,,,2.0
26860,1991,62.0,1.0,3.0,2.0,3,1.0,,,,,,,,,4.0
13933,1982,35.0,1.0,0.0,1.0,3,2.0,,,,1.0,1.0,1.0,1.0,2.0,2.0
36248,1998,82.0,1.0,5.0,11.0,4,1.0,,,,,,,,,1.0
7633,1977,60.0,1.0,6.0,9.0,2,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
55396,2012,53.0,1.0,0.0,12.0,5,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0
5670,1975,53.0,1.0,0.0,10.0,7,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0
59010,2014,76.0,1.0,5.0,12.0,4,1.0,2.0,,,,,,,,4.0
30688,1994,76.0,2.0,0.0,11.0,6,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0
57117,2014,63.0,3.0,5.0,9.0,2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18622,1986,78.0,2.0,0.0,,2,1.0,1.0,,,,,,,,2.0
19067,1986,40.0,2.0,4.0,12.0,1,1.0,1.0,,,,,,,,2.0
69084,2022,27.0,1.0,2.0,12.0,9,1.0,,,,,,,,,0.0
49944,2006,41.0,2.0,5.0,,8,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
67674,2021,60.0,1.0,6.0,12.0,2,1.0,2.0,,,,,,,,2.0
12776,1982,42.0,1.0,1.0,10.0,3,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
69272,2022,,2.0,2.0,,3,1.0,,,,,,,,,0.0
5520,1975,19.0,2.0,5.0,9.0,7,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
15901,1984,26.0,2.0,4.0,12.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
63104,2018,42.0,1.0,0.0,12.0,5,2.0,,,,,,,,,1.0
3643,1974,42.0,4.0,2.0,6.0,4,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,3.0
69126,2022,68.0,1.0,3.0,3.0,9,1.0,2.0,,,,,,,,0.0
26863,1991,24.0,2.0,4.0,12.0,3,1.0,1.0,,,,,,,,0.0
46076,2004,51.0,2.0,4.0,12.0,5,1.0,,,,,,,,,2.0
1321,1972,35.0,1.0,3.0,,3,1.0,,1.0,,1.0,,1.0,,,4.0
47371,2006,28.0,1.0,2.0,11.0,7,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
23338,1988,27.0,2.0,1.0,4.0,8,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
